a
a lot
aboard
about
above
after
across
against
along
among
an
and
anti
around
as
as if
as long as
as soon as
as though
at
be
be
because
been
behind
beneath
beside
besides
but
but
by
consequently
considering
did
doing
down
either
even if
except
for
from
had
has
have
he
her
him
his
how
i
if
in
inside
into
is
it
its
just
like
me
my
near
nor
not
of
off
on
once
one
only
onto
or
other
our
out
over
past
regarding
since
so
some
than
that
the
their
them
then
there
these
they
this
those
thus
to
toward
under
until
up
upon
us
was
we
were
what
when
where
whether
which
while
who
whom
whose
why
with
within
without
you
your
yours
yourselves
ways
more
steps
improve
can
best
make
may
also
add
get
tips
list
com
try
all
d
through
are
let
vs
new
instead
keep
should
use
using
used
see
saw
sawn
seen
sees
seeing
old
through
throughout
thru
thruout
thru-out
set
sets
setting
setted
ultimate
ultimately
do
does
doing
done
did
much
many
most
more
less
least
few
fewer
fewest
little
you
your
yours
yourself
join
give
gave
given
giving
goes
going
gone
went
good
better
best
well
really
quite
rather
perhaps
might
each
either
neither
include
includes
including
included
continue
continues
continued
continuing
seem
seems
seemed
seeming
remain
remains
remained
remaining
stay
stays
stayed
staying
begin
begins
began
beginning
follow
follows
followed
following
start
starts
started
starting
become
becomes
became
becoming
leave
leaves
left
leaving
run
runs
ran
running
move
moves
moved
moving
change
changes
changed
changing
manage
manages
managed
managing
keep
keeps
kept
keeping
hold
holds
held
holding
lead
leads
led
leading
find
finds
found
finding
take
takes
took
taking
help
helps
helped
helping
talk
talks
talked
talking
speak
speaks
spoke
speaking
tell
tells
told
telling
ask
asks
asked
asking
work
works
worked
working
play
plays
played
playing
go
goes
went
going
know
knows
knew
knowing
think
thinks
thought
thinking
look
looks
looked
looking
want
wants
wanted
wanting
need
needs
needed
needing
feel
feels
felt
feeling
try
tries
tried
trying
leave
leaves
left
leaving
call
calls
called
calling
become
becomes
became
becoming
let
lets
letting
put
puts
putting
become
becomes
became
becoming
seem
seems
seemed
seeming
appear
appears
appeared
appearing
remain
remains
remained
remaining
itsm
